,artist_name,popularity,track_name,uri
10,Travis Scott,"[94, 86, 84, 83, 82, 79, 78, 76, 76, 75]","['SICKO MODE', 'YOSEMITE', 'goosebumps', 'STARGAZING', 'BUTTERFLY EFFECT', ""CAN'T SAY"", 'SICKO MODE - Skrillex Remix', 'NO BYSTANDERS', 'WAKE UP', 'Antidote']","['spotify:track:2xLMifQCjDGFmkHkpNLD9h', 'spotify:track:7lAK3oHbfEnvUQWosrMMpR', 'spotify:track:6gBFPUFcJLzWGx4lenP6h2', 'spotify:track:7wBJfHzpfI3032CSD7CE2m', 'spotify:track:2cYqizR4lgvp4Qu6IQ3qGN', 'spotify:track:27a1mYSG5tYg7dmEjWBcmL', 'spotify:track:0u695M7KyzXaPIjpEbxOkB', 'spotify:track:6OaVWaGfhXn70ZJfdVcabn', 'spotify:track:20MuVazoNMv6xjKPnRFOxG', 'spotify:track:1wHZx0LgzFHyeIZkUydNXq']"
11,The Weeknd,"[89, 83, 73, 80, 79, 69, 78, 76, 68, 65]","['Lost in the Fire (feat. The Weeknd)', 'Starboy', 'Call Out My Name', 'The Hills', 'Pray For Me (with Kendrick Lamar)', 'I Feel It Coming', ""Can't Feel My Face"", 'Love Me Harder', 'Earned It (Fifty Shades Of Grey)', 'Die For You']","['spotify:track:7wFybC8jBH3zE139OpCtpG', 'spotify:track:7MXVkk9YMctZqd1Srtv4MB', 'spotify:track:1gm616Plq4ScqNi7TVkZ5N', 'spotify:track:7fBv7CLKzipRk6EC6TWHOB', 'spotify:track:77UjLW8j5UAGAGVGhR5oUK', 'spotify:track:5GXAXm5YOmYT0kL5jHvYBt', 'spotify:track:22VdIZQfgXJea34mQxlt81', 'spotify:track:5J4ZkQpzMUFojo1CtAZYpn', 'spotify:track:4frLb7nWtsz2ymBE6k2GRP', 'spotify:track:2LBqCSwhJGcFQeTHMVGwy3']"
12,Kanye West,"[86, 78, 77, 77, 76, 73, 75, 74, 73, 72]","['I Love It (& Lil Pump)', 'FourFiveSeconds', 'Gold Digger', 'POWER', 'All Mine', 'Stronger', 'Heartless', 'Black Skinhead', 'Famous', 'Yikes']","['spotify:track:4S8d14HvHb70ImctNgVzQQ', 'spotify:track:78TTtXnFQPzwqlbtbwqN0y', 'spotify:track:1PS1QMdUqOal0ai3Gt7sDQ', 'spotify:track:2gZUPNdnz5Y45eiGxpHGSc', 'spotify:track:3U21A07gAloCc4P7J8rxcn', 'spotify:track:6C7RJEIUDqKkJRZVWdkfkH', 'spotify:track:4EWCNWgDS8707fNSZ1oaA5', 'spotify:track:722tgOgdIbNe3BEyLnejw4', 'spotify:track:19a3JfW8BQwqHWUMbcqSx8', 'spotify:track:1qsHYUd2c1wFGcn7e63QmG']"
13,David Guetta,"[72, 57, 81, 56, 57, 63, 75, 74, 74, 70]","['Say My Name', 'Flames', 'Goodbye (feat. Nicki Minaj & Willy William)', 'Like I Do', ""Don't Leave Me Alone (feat. Anne-Marie)"", 'Titanium (feat. Sia)', 'Your Love', 'So Far Away (feat. Jamie Scott & Romy Dya)', ""Better When You're Gone"", 'Mad Love']","['spotify:track:3MoV1UsAJmz64LHqyiRMp0', 'spotify:track:3tTYxjYYcXFqFXA0AZ1Fav', 'spotify:track:5Xn4IyTtW6FUGIUyWjbUHG', 'spotify:track:03IBnHJvOQBr4dy3RguAph', 'spotify:track:4uZBBwJwTJeL3Swlk2ufLr', 'spotify:track:0lHAMNU8RGiIObScrsRgmP', 'spotify:track:0tgbSxoFjZ20MjfoKwWevV', 'spotify:track:0OlnLZY4cmQzT6ZGttvWBM', 'spotify:track:4Tvw0lweq9l2JPQKFbpbBQ', 'spotify:track:4dSoDnmR9opAQ8KxUc9SbC']"
14,Marshmello,"[95, 86, 84, 84, 82, 81, 75, 77, 74, 71]","['Happier', 'FRIENDS', 'Silence', 'Wolves', 'Alone', 'Everyday', 'Project Dreams', 'Spotlight', 'Fly', 'Danger (with Migos & Marshmello)']","['spotify:track:2dpaYNEQHiRxtZbfNsse99', 'spotify:track:08bNPGLD8AhKpnnERrAc6G', 'spotify:track:7vGuf3Y35N4wmASOKLUVVU', 'spotify:track:0tBbt8CrmxbjRP0pueQkyU', 'spotify:track:12mGwph2YzDIlChtq3EdXP', 'spotify:track:4EAV2cKiqKP5UPZmY6dejk', 'spotify:track:6GSkLS2y4ZnnZsuRAj975K', 'spotify:track:6VrCmhRBFnuGKmtNfk4jDs', 'spotify:track:2HO0uCyq8jOveEzvmo4JEu', 'spotify:track:0nhVrTiCGiGRCoZOJiWzm1']"
15,Shawn Mendes,"[85, 83, 83, 82, 80, 78, 77, 76, 70, 75]","['In My Blood', 'Treat You Better', ""There's Nothing Holdin' Me Back"", 'Lost In Japan', 'Mercy', 'Youth (feat. Khalid)', ""Fallin' All In You"", 'Where Were You In The Morning?', 'Stitches', 'Nervous']","['spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH', 'spotify:track:3QGsuHI8jO1Rx4JWLUh9jd', 'spotify:track:7JJmb5XwzOO8jgpou264Ml', 'spotify:track:79esEXlqqmq0GPz0xQSZTV', 'spotify:track:0AS63m1wHv9n4VVRizK6Hc', 'spotify:track:1h0yImRPIVAjhhHeNVlTuC', 'spotify:track:5EYBryPOgIEPB7r5QIy6eG', 'spotify:track:376Gg7Oxo5C5jUWDWpVXeI', 'spotify:track:5jsw9uXEGuKyJzs0boZ1bT', 'spotify:track:5wxurz8J6YlyQRNnGN8zXS']"
16,benny blanco,"[81, 79, 65, 72, 61, 67, 57, 51, 51, 42]","['Eastside (with Halsey & Khalid)', 'Roses (with Juice WRLD feat. Brendon Urie)', 'I Found You (with Calvin Harris)', 'I Found You / Nilda’s Story (with Calvin Harris & Miguel)', 'Better to Lie (with Jesse & Swae Lee)', 'Eastside (with Halsey & Khalid) - Acoustic', 'More/Diamond Ring (feat. Ty Dolla $ign & 6LACK)', 'Just For Us Pt. 2', 'Break My Heart (feat. Ryan Beatty)', 'Somebody to Love (feat. Justin Bieber) - Remix']","['spotify:track:7FGq80cy8juXBCD2nrqdWU', 'spotify:track:1KVczjazCcCCgM3gXXUl47', 'spotify:track:1kQhi22kyluRCnIPAXtxEZ', 'spotify:track:3eVuglKxN2sjoIGHAsFAge', 'spotify:track:6fq5GyXeT7kfzkK97b9rGC', 'spotify:track:5iQ0Va8Dt5Yky4TXuqO5TF', 'spotify:track:0v56EFhzpi5Gs5zeGx3IGO', 'spotify:track:6Rfs2oVALQmUodC9DURPED', 'spotify:track:1EIp5b5DgFGvYQpHjYi7J4', 'spotify:track:6tnrFU8iLQ6orFXjCA3flL']"
17,Daddy Yankee,"[90, 88, 85, 80, 79, 76, 75, 75, 69, 74]","['Adictiva', 'Con Calma', 'Asesina - Remix', 'Despacito - Remix', 'Dura', 'Dura - Remix', 'Gasolina', 'Bella y Sensual', 'Despacito', 'Zum Zum']","['spotify:track:6MJUCumnQsQEKbCy28tbCP', 'spotify:track:5w9c2J52mkdntKOmRLeM2m', 'spotify:track:59PYgzOiOjGDzjDT5N5oOX', 'spotify:track:6rPO02ozF3bM7NnOV4h6s2', 'spotify:track:6KuqAtoeVzxAYOaMveLNpH', 'spotify:track:6U2NuJILEOEpW2tVCuqKHb', 'spotify:track:6jEZLz3YpnEBRpVkv35AmP', 'spotify:track:0ERbK7qVqveCaBWIiYCrl3', 'spotify:track:6habFhsOp2NvshLv26DqMb', 'spotify:track:7lEhOiFtcLXY4P7cuTKuQ8']"
18,Bruno Mars,"[79, 83, 81, 80, 79, 77, 77, 76, 74, 73]","['Wake Up in the Sky', ""That's What I Like"", 'Finesse (Remix) [feat. Cardi B]', 'When I Was Your Man', '24K Magic', 'Just the Way You Are', 'Locked Out Of Heaven', 'Versace On The Floor', 'Treasure', 'Grenade']","['spotify:track:2G1tXoGBaEMJ7FKGnkf6ud', 'spotify:track:0KKkJNfGyhkQ5aFogxQAPU', 'spotify:track:3Vo4wInECJQuz9BIBMOu8i', 'spotify:track:0nJW01T7XtvILxQgC5J7Wh', 'spotify:track:6b8Be6ljOzmkOmFslEb23P', 'spotify:track:7BqBn9nzAq8spo5e7cZ0dJ', 'spotify:track:3w3y8KPTfNeOKPiqUTakBh', 'spotify:track:0kN8xEmgMW9mh7UmDYHlJP', 'spotify:track:55h7vJchibLdUkxdlX3fK7', 'spotify:track:2tJulUYLDKOg9XrtVkMgcJ']"
19,Future,"[85, 84, 82, 80, 78, 77, 76, 75, 74, 73]","['First Off (feat. Travis Scott)', 'Fine China', 'Crushed Up', 'Mask Off', 'Jumpin on a Jet', ""King's Dead (with Kendrick Lamar, Future & James Blake)"", 'Hard Work Pays Off', 'Jumpman', 'Low Life', 'F&N']","['spotify:track:3WRIaWsws011vHMd9uzPjG', 'spotify:track:5274I4mUMnYczyeXkGDWZN', 'spotify:track:7wcyO1rrH3Ru4t659IjG41', 'spotify:track:0VgkVdmE4gld66l8iyGjgx', 'spotify:track:1I3ZAmPmbFV78oNKnibOiW', 'spotify:track:51rXHuKN8Loc4sUlKPODgH', 'spotify:track:6gzIcEUuswJQGfJNPYMjjv', 'spotify:track:27GmP9AWRs744SzKcpJsTZ', 'spotify:track:7EiZI6JVHllARrX9PUvAdX', 'spotify:track:5YP6yKgGGsXKukqxXypVAf']"
20,Sam Smith,"[94, 89, 86, 78, 82, 81, 76, 73, 71, 71]","['Dancing With A Stranger (with Normani)', 'Promises (with Sam Smith)', 'Fire On Fire - From ""Watership Down""', 'Too Good At Goodbyes', 'Stay With Me', ""I'm Not The Only One"", 'Lay Me Down', 'Have Yourself A Merry Little Christmas', 'Make It To Me', 'Like I Can']","['spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki', 'spotify:track:5N5k9nd479b1xpDZ4usjrg', 'spotify:track:5rFj8OzffT0iggSjcBaeND', 'spotify:track:3VlbOrM6nYPprVvzBZllE5', 'spotify:track:5Nm9ERjJZ5oyfXZTECKmRt', 'spotify:track:7795WJLVKJoAyVoOtCWqXN', 'spotify:track:64GRDrL1efgXclrhVCeuA0', 'spotify:track:1Qi2wh8fFgDV7tl4Sj3f2K', 'spotify:track:2uCMaUojwuqr8CRGsLoPa6', 'spotify:track:2TeLIzFBe3hxkPR5FIQZut']"
21,Maluma,"[86, 85, 84, 80, 80, 78, 78, 76, 72, 72]","['Créeme', 'Amigos Con Derechos', 'Mala Mía', 'Mala Mía - Remix', 'Clandestino', 'Felices los 4', 'Corazón (feat. Nego do Borel)', 'El Préstamo', 'Marinero', 'Borro Cassette']","['spotify:track:1mT47pKLXUwPYGwB91GcNz', 'spotify:track:2zDj4WjbNDmrRL6Z4YjjCA', 'spotify:track:62o8KoI44JfN7aYxgTnPvh', 'spotify:track:6sAwJPgaSQ9Q4XGnbx1gZb', 'spotify:track:7DrluKkTviBwCc8AV3VGmf', 'spotify:track:1RouRzlg8OKFeqc6LvdxmB', 'spotify:track:5cepAtqnEQ6yVG6088zMMu', 'spotify:track:2XVilv6s9GETnw9PG4T9Mz', 'spotify:track:6x5LBP3nYXVdIDoomChGr3', 'spotify:track:6DUdDIRgLqCGq1DwkNWQTN']"
22,Chris Brown,"[86, 81, 74, 73, 73, 71, 67, 70, 62, 69]","['Undecided', 'Freaky Friday (feat. Chris Brown)', 'Ayo', 'Stranger Things', 'Loyal', 'Fuck It Off (feat. Chris Brown)', 'Five More Hours - Deorro x Chris Brown', ""I Don't Die"", 'Questions', 'Just Let Go']","['spotify:track:7uiBocndm12aKbsdnQ3Scx', 'spotify:track:10Igtw8bSDyyFs7KIsKngZ', 'spotify:track:0k6DnZMLoEUH8NGD5zh2SE', 'spotify:track:34I0nBvoE0ZXmqbKiJ5BWS', 'spotify:track:7kqcudBGM74MXVoYMaoWkC', 'spotify:track:3jGYpYY6jm48GArqKDnuwG', 'spotify:track:3MOECVkNshqHYTPt5DZcdN', 'spotify:track:3NSmC1EQKOdUe6KhMrDDk5', 'spotify:track:3ojTJaonfkL96iIWa47SU3', 'spotify:track:05u5qeM36BBjaF9lsOyar2']"
23,J. Cole,"[93, 81, 78, 78, 77, 76, 75, 75, 74, 74]","['MIDDLE CHILD', 'No Role Modelz', 'KOD', 'Wet Dreamz', 'Kevin’s Heart', 'Tribe (with J. Cole)', 'G.O.M.D.', 'Off Deez (with J. Cole)', 'Neighbors', 'ATM']","['spotify:track:2JvzF1RMd7lE3KmFlsyZD8', 'spotify:track:62vpWI1CHwFy7tMIcSStl8', 'spotify:track:7yotKA30dwTKNEGomV9ZsI', 'spotify:track:6Ius4TC0L3cN74HT7ENE6e', 'spotify:track:6tZ3b7ik1QDXFAZlXib0YZ', 'spotify:track:0YAQnYt2oB8OdoaeqnHyTI', 'spotify:track:16qYlQ6koFxYVbiJbGHblz', 'spotify:track:3JAeYOjyJodI4PRs44lx2l', 'spotify:track:0utlOiJy2weVl9WTkcEWHy', 'spotify:track:2UciqgwVDwro0fev3MFbxJ']"
24,Juice WRLD,"[90, 87, 84, 83, 82, 79, 81, 80, 80, 79]","['Lucid Dreams', 'Armed And Dangerous', 'Fine China', 'All Girls Are The Same', 'Lean Wit Me', 'Roses (with Juice WRLD feat. Brendon Urie)', 'Hide (feat. Seezyn)', 'Legends', 'Wasted (feat. Lil Uzi Vert)', 'Black & White']","['spotify:track:285pBltuF7vW8TeWk8hdRR', 'spotify:track:5wujBwqG7INdStqGd4tRMX', 'spotify:track:5274I4mUMnYczyeXkGDWZN', 'spotify:track:4VXIryQMWpIdGgYR4TrjT1', 'spotify:track:3oDkdAySo1VQQG0ptV7uwa', 'spotify:track:1KVczjazCcCCgM3gXXUl47', 'spotify:track:6rz0dTA0PdhXImFV5EjM0w', 'spotify:track:1Knctxx9vGZxpZfF66BIEa', 'spotify:track:1a7WZZZH7LzyvorhpOJFTe', 'spotify:track:1fCeXjoRExPP2qwSBh2aST']"
25,Kygo,"[86, 70, 73, 69, 77, 75, 74, 73, 69, 69]","['Happy Now', 'Born To Be Yours', 'Remind Me to Forget', 'It Ain’t Me (with Selena Gomez)', 'Stargazing', 'Firestone (feat. Conrad Sewell)', 'Stole the Show', 'First Time', 'Happy Now - R3HAB Remix', 'Stranger Things (feat. OneRepublic)']","['spotify:track:14sOS5L36385FJ3OL8hew4', 'spotify:track:0WVAQaxrT0wsGEG4BCVSn2', 'spotify:track:6xTU6B6nFwKKTSZ9ySXS80', 'spotify:track:12GEpg2XOPyqk03JZEZnJs', 'spotify:track:0Zbbxnx4SGGHoIow4PpISP', 'spotify:track:1I8tHoNBFTuoJAlh4hfVVE', 'spotify:track:5masKPHeAOVNgxdLebIcK7', 'spotify:track:2Gl0FzuLxflY6nPifJp5Dr', 'spotify:track:7AkLPOwjju8taQCJCaIUts', 'spotify:track:4sJqSKPc5fZ5OZ8JiVI44N']"
26,Logic,"[86, 82, 81, 77, 72, 69, 68, 68, 67, 67]","['Keanu Reeves', '1-800-273-8255', 'Everyday', '44 More', 'Everybody', 'ICONIC (ft. Jaden Smith)', 'Flexicution', 'Midnight', 'Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)', 'Ballin']","['spotify:track:25F6MWrnFBCXVnpN4n76EK', 'spotify:track:5tz69p7tJuGPeMGwNTxYuV', 'spotify:track:4EAV2cKiqKP5UPZmY6dejk', 'spotify:track:3e7Y6sfFlIdBMJhX7wpqVO', 'spotify:track:7cGFbx7MP0H23iHZTZpqMM', 'spotify:track:1FmdAhS8FqRoEJ4jcSfuKZ', 'spotify:track:2c8sgbZoEanC3QyFNZxUcA', 'spotify:track:1GtVGc1UYin3zpMUdNSSpM', 'spotify:track:6VDz4m1vEGHDDqQojf1mpc', 'spotify:track:17N5FdRwJuv3UXQ7MHnbhF']"
27,Lil Uzi Vert,"[85, 80, 79, 77, 74, 73, 73, 73, 72, 72]","['XO TOUR Llif3', 'New Patek', 'The Way Life Goes (feat. Oh Wonder)', 'Money Longer', 'Dark Queen', 'Erase Your Social', 'Sauce It Up', '20 Min', 'You Was Right', 'Watch (feat. Lil Uzi Vert & Kanye West)']","['spotify:track:7GX5flRQZVHRAGd6B4TmDO', 'spotify:track:0Fpen1PTuEnCmOJtUU9Iud', 'spotify:track:2eAZfqOm4EnOF9VvN50Tyc', 'spotify:track:0B8QzDH7YWih85V5SEMnyJ', 'spotify:track:2ZdCrBA52bb4pIG3tOOZiQ', 'spotify:track:4uhvMW7ly7tJil31YYscAN', 'spotify:track:1uL78kFWxhz3umTMWJu8n5', 'spotify:track:0uxSUdBrJy9Un0EYoBowng', 'spotify:track:2ANLarE8yHVsLWW21nj79M', 'spotify:track:3DoBTwfr8yi2LN08SBpFkN']"
28,G-Eazy,"[80, 77, 71, 75, 73, 73, 69, 67, 67, 63]","['Him & I (with Halsey)', 'Me, Myself & I', 'No Limit', '1942', 'My Year', 'I Mean It', 'Some Kind Of Drug', 'Drop', 'Calm Down', 'Good Life (with G-Eazy & Kehlani)']","['spotify:track:5k38wzpLb15YgncyWdTZE4', 'spotify:track:40YcuQysJ0KlGQTeGUosTC', 'spotify:track:2DQ1ITjI0YoLFzuADN1ZBW', 'spotify:track:794QVQtFNy7hvtjQP1keQd', 'spotify:track:6MDjeiUWPPgEwLtiBrr9he', 'spotify:track:6jmTHeoWvBaSrwWttr8Xvu', 'spotify:track:1Bqxj0aH5KewYHKUg1IdrF', 'spotify:track:61TklWcG8PbT5hvUTzwLaY', 'spotify:track:7xq3uN2toVZ8IbNzfTucyJ', 'spotify:track:1Eck97uRMlprKOOJN9oO1E']"
29,Martin Garrix,"[83, 82, 80, 80, 56, 76, 76, 74, 71, 68]","['Ocean (feat. Khalid)', 'High On Life (feat. Bonn)', 'In the Name of Love', 'Scared to Be Lonely', 'Like I Do', 'There for You', 'Burn Out (feat. Dewain Whitmore)', 'So Far Away (feat. Jamie Scott & Romy Dya)', 'Dreamer', 'Glitch']","['spotify:track:3nc420PXjTdBV5TN0gCFkS', 'spotify:track:4ut5G4rgB1ClpMTMfjoIuy', 'spotify:track:23L5CiUhw2jV1OIMwthR3S', 'spotify:track:3ebXMykcMXOcLeJ9xZ17XH', 'spotify:track:03IBnHJvOQBr4dy3RguAph', 'spotify:track:6jA8HL9i4QGzsj6fjoxp8Y', 'spotify:track:7IWTIkiWGWNQyYfOLdMrGD', 'spotify:track:0OlnLZY4cmQzT6ZGttvWBM', 'spotify:track:0wUxh6XMc698xPCfgBaPRV', 'spotify:track:47knrBbYhqtrggWYSkU6h1']"
